TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	soft_tissue-striated_muscle-rhabdomyosarcoma-alveolar	0.129479888981672	-2.04422970734126	2414	4	0.285714285714286	14	16828	285362,22901,138050,3425	SUMF1,ARSG,HGSNAT,IDUA
oesophagus-carcinoma-adenocarcinoma	oesophagus-carcinoma-adenocarcinoma	0.150917774239347	-1.89102013194504	13112	13	0.928571428571429	14	16828	2799,2588,3373,22901,153642,2720,285362,3425,2990,411,3423,6448,4669	GNS,GALNS,HYAL1,ARSG,ARSK,GLB1,SUMF1,IDUA,GUSB,ARSB,IDS,SGSH,NAGLU
ovary	ovary	0.160895710705139	-1.82699888347997	14770	14	1	14	16828	4669,6448,3423,2990,411,3425,285362,2720,22901,153642,3373,138050,2588,2799	NAGLU,SGSH,IDS,GUSB,ARSB,IDUA,SUMF1,GLB1,ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	0.161354040593603	-1.82415431838308	14773	14	1	14	16828	2799,2588,138050,3373,22901,153642,2720,285362,3425,411,2990,3423,4669,6448	GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK,GLB1,SUMF1,IDUA,ARSB,GUSB,IDS,NAGLU,SGSH
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	0.161354040593603	-1.82415431838308	14773	14	1	14	16828	2588,2799,3373,22901,153642,138050,285362,2720,3423,4669,6448,3425,2990,411	GALNS,GNS,HYAL1,ARSG,ARSK,HGSNAT,SUMF1,GLB1,IDS,NAGLU,SGSH,IDUA,GUSB,ARSB
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	0.161354040593603	-1.82415431838308	14773	14	1	14	16828	4669,6448,3423,2990,411,3425,285362,2720,22901,153642,3373,138050,2588,2799	NAGLU,SGSH,IDS,GUSB,ARSB,IDUA,SUMF1,GLB1,ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	0.161354040593603	-1.82415431838308	14773	14	1	14	16828	4669,6448,3423,2990,411,3425,285362,2720,22901,153642,3373,138050,2588,2799	NAGLU,SGSH,IDS,GUSB,ARSB,IDUA,SUMF1,GLB1,ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS
classic	classic	0.161507086434869	-1.8232062584284	14774	14	1	14	16828	2990,411,3425,4669,6448,3423,2720,285362,138050,22901,153642,3373,2799,2588	GUSB,ARSB,IDUA,NAGLU,SGSH,IDS,GLB1,SUMF1,HGSNAT,ARSG,ARSK,HYAL1,GNS,GALNS
medulla	medulla	0.162120618752508	-1.81941466059652	14778	14	1	14	16828	3373,153642,22901,138050,2588,2799,3423,4669,6448,3425,411,2990,285362,2720	HYAL1,ARSK,ARSG,HGSNAT,GALNS,GNS,IDS,NAGLU,SGSH,IDUA,ARSB,GUSB,SUMF1,GLB1
desmoplastic	desmoplastic	0.162274339622067	-1.81846692156978	14779	14	1	14	16828	22901,153642,3373,138050,2588,2799,6448,4669,3423,411,2990,3425,285362,2720	ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS,SGSH,NAGLU,IDS,ARSB,GUSB,IDUA,SUMF1,GLB1
neoplasm	neoplasm	0.163508987939894	-1.8108873180463	14787	14	1	14	16828	2720,285362,2990,411,3425,6448,4669,3423,2799,2588,138050,153642,22901,3373	GLB1,SUMF1,GUSB,ARSB,IDUA,SGSH,NAGLU,IDS,GNS,GALNS,HGSNAT,ARSK,ARSG,HYAL1
hepatocellular_carcinoma	hepatocellular_carcinoma	0.16553391049821	-1.79857920788345	14800	14	1	14	16828	2990,411,3425,6448,4669,3423,2720,285362,138050,22901,153642,3373,2799,2588	GUSB,ARSB,IDUA,SGSH,NAGLU,IDS,GLB1,SUMF1,HGSNAT,ARSG,ARSK,HYAL1,GNS,GALNS
liver-carcinoma-hepatocellular_carcinoma	liver-carcinoma-hepatocellular_carcinoma	0.16553391049821	-1.79857920788345	14800	14	1	14	16828	138050,153642,22901,3373,2799,2588,2990,411,3425,4669,6448,3423,2720,285362	HGSNAT,ARSK,ARSG,HYAL1,GNS,GALNS,GUSB,ARSB,IDUA,NAGLU,SGSH,IDS,GLB1,SUMF1
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-NK-T_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-NK-T_cell_lymphoma	0.166212938132457	-1.79448555282501	217	1	0.0714285714285714	14	16828	4669	NAGLU
NK-T_cell_lymphoma	NK-T_cell_lymphoma	0.17181938638414	-1.76131143305005	225	1	0.0714285714285714	14	16828	4669	NAGLU
other	other	0.172398833970692	-1.75794468428649	14843	14	1	14	16828	138050,153642,22901,3373,2799,2588,411,2990,3425,4669,6448,3423,2720,285362	HGSNAT,ARSK,ARSG,HYAL1,GNS,GALNS,ARSB,GUSB,IDUA,NAGLU,SGSH,IDS,GLB1,SUMF1
large_cell	large_cell	0.172724476790582	-1.75605757375888	14845	14	1	14	16828	2720,285362,2990,411,3425,4669,6448,3423,2799,2588,138050,22901,153642,3373	GLB1,SUMF1,GUSB,ARSB,IDUA,NAGLU,SGSH,IDS,GNS,GALNS,HGSNAT,ARSG,ARSK,HYAL1
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-mantle_cell_lymphoma	0.181750958449207	-1.70511788913423	2737	4	0.285714285714286	14	16828	2588,411,6448,153642	GALNS,ARSB,SGSH,ARSK
functioning	functioning	0.183420037371906	-1.69597647010092	1803	3	0.214285714285714	14	16828	3423,3373,2588	IDS,HYAL1,GALNS
adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	adrenal_gland-adrenal_gland-adrenal_cortical_carcinoma-functioning	0.183420037371906	-1.69597647010092	1803	3	0.214285714285714	14	16828	3373,3423,2588	HYAL1,IDS,GALNS
kidney-other-neoplasm	kidney-other-neoplasm	0.183477565606076	-1.69566287723918	10653	11	0.785714285714286	14	16828	2588,2799,22901,153642,285362,3423,6448,4669,3425,2990,411	GALNS,GNS,ARSG,ARSK,SUMF1,IDS,SGSH,NAGLU,IDUA,GUSB,ARSB
skin-sole-malignant_melanoma-acral_lentiginous	skin-sole-malignant_melanoma-acral_lentiginous	0.191850654776085	-1.65103804933652	254	1	0.0714285714285714	14	16828	4669	NAGLU
oesophagus	oesophagus	0.194248872514475	-1.63861509405251	14970	14	1	14	16828	285362,2720,4669,6448,3423,2990,411,3425,2588,2799,22901,153642,3373,138050	SUMF1,GLB1,NAGLU,SGSH,IDS,GUSB,ARSB,IDUA,GALNS,GNS,ARSG,ARSK,HYAL1,HGSNAT
skin-acral-malignant_melanoma	skin-acral-malignant_melanoma	0.198653014456325	-1.61619562212574	264	1	0.0714285714285714	14	16828	22901	ARSG
bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.20106477898675	-1.60412813932907	6023	7	0.5	14	16828	4669,22901,138050,3425,2990,2588,2720	NAGLU,ARSG,HGSNAT,IDUA,GUSB,GALNS,GLB1
acral	acral	0.201359041013841	-1.6026656907119	268	1	0.0714285714285714	14	16828	22901	ARSG
mantle_cell_lymphoma	mantle_cell_lymphoma	0.201594833039079	-1.60149537287984	2849	4	0.285714285714286	14	16828	2588,411,6448,153642	GALNS,ARSB,SGSH,ARSK
sole	sole	0.202034220568145	-1.59931818717578	269	1	0.0714285714285714	14	16828	4669	NAGLU
breast-carcinoma	breast-carcinoma	0.205442161331717	-1.58259073803492	15030	14	1	14	16828	3423,4669,6448,3425,411,2990,285362,2720,3373,153642,22901,138050,2588,2799	IDS,NAGLU,SGSH,IDUA,ARSB,GUSB,SUMF1,GLB1,HYAL1,ARSK,ARSG,HGSNAT,GALNS,GNS
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	0.207143741392789	-1.57434232383917	7205	8	0.571428571428571	14	16828	22901,2588,3425,411,3423,4669,2720,285362	ARSG,GALNS,IDUA,ARSB,IDS,NAGLU,GLB1,SUMF1
fibrous_tissue_and_uncertain_origin	fibrous_tissue_and_uncertain_origin	0.207416606935392	-1.57302591437981	277	1	0.0714285714285714	14	16828	6448	SGSH
intestinal_adenocarcinoma	intestinal_adenocarcinoma	0.209786687208144	-1.56166403971324	7225	8	0.571428571428571	14	16828	3373,153642,138050,2588,4669,3425,2990,411	HYAL1,ARSK,HGSNAT,GALNS,NAGLU,IDUA,GUSB,ARSB
stomach-carcinoma-intestinal_adenocarcinoma	stomach-carcinoma-intestinal_adenocarcinoma	0.209786687208144	-1.56166403971324	7225	8	0.571428571428571	14	16828	4669,3425,2990,411,3373,153642,138050,2588	NAGLU,IDUA,GUSB,ARSB,HYAL1,ARSK,HGSNAT,GALNS
medullary_carcinoma	medullary_carcinoma	0.216091136107421	-1.53205503386065	290	1	0.0714285714285714	14	16828	2720	GLB1
thyroid-carcinoma-medullary_carcinoma	thyroid-carcinoma-medullary_carcinoma	0.216091136107421	-1.53205503386065	290	1	0.0714285714285714	14	16828	2720	GLB1
bile_duct	bile_duct	0.218242244543427	-1.52214961963182	15095	14	1	14	16828	2720,285362,3425,2990,411,3423,4669,6448,2799,2588,138050,3373,22901,153642	GLB1,SUMF1,IDUA,GUSB,ARSB,IDS,NAGLU,SGSH,GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK
biliary_tract-bile_duct-carcinoma-adenocarcinoma	biliary_tract-bile_duct-carcinoma-adenocarcinoma	0.218242244543427	-1.52214961963182	15095	14	1	14	16828	285362,2720,6448,4669,3423,411,2990,3425,2588,2799,153642,22901,3373,138050	SUMF1,GLB1,SGSH,NAGLU,IDS,ARSB,GUSB,IDUA,GALNS,GNS,ARSK,ARSG,HYAL1,HGSNAT
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm	0.22081275129236	-1.51044021582839	7307	8	0.571428571428571	14	16828	4669,411,3425,285362,22901,3373,2588,2799	NAGLU,ARSB,IDUA,SUMF1,ARSG,HYAL1,GALNS,GNS
acinar_carcinoma	acinar_carcinoma	0.222044804472731	-1.50487609552393	1978	3	0.214285714285714	14	16828	3373,4669,138050	HYAL1,NAGLU,HGSNAT
pancreas-carcinoma-acinar_carcinoma	pancreas-carcinoma-acinar_carcinoma	0.222044804472731	-1.50487609552393	1978	3	0.214285714285714	14	16828	3373,4669,138050	HYAL1,NAGLU,HGSNAT
lung-carcinoma-adenocarcinoma	lung-carcinoma-adenocarcinoma	0.226064414363084	-1.48693530101446	15133	14	1	14	16828	2720,285362,411,2990,3425,6448,4669,3423,2799,2588,138050,153642,22901,3373	GLB1,SUMF1,ARSB,GUSB,IDUA,SGSH,NAGLU,IDS,GNS,GALNS,HGSNAT,ARSK,ARSG,HYAL1
stomach-carcinoma-adenocarcinoma	stomach-carcinoma-adenocarcinoma	0.229647407349354	-1.47121015784796	15150	14	1	14	16828	2588,2799,3373,153642,22901,138050,285362,2720,3423,6448,4669,3425,411,2990	GALNS,GNS,HYAL1,ARSK,ARSG,HGSNAT,SUMF1,GLB1,IDS,SGSH,NAGLU,IDUA,ARSB,GUSB
meninges-meningioma	meninges-meningioma	0.240300067750779	-1.42586685429727	327	1	0.0714285714285714	14	16828	2799	GNS
prostate-carcinoma-adenocarcinoma	prostate-carcinoma-adenocarcinoma	0.241555642823598	-1.42065542736202	12379	12	0.857142857142857	14	16828	3425,2990,411,4669,6448,2720,285362,3373,153642,22901,2799,2588	IDUA,GUSB,ARSB,NAGLU,SGSH,GLB1,SUMF1,HYAL1,ARSK,ARSG,GNS,GALNS
skin-ankle-malignant_melanoma-acral_lentiginous	skin-ankle-malignant_melanoma-acral_lentiginous	0.2422322090774	-1.41785847124911	330	1	0.0714285714285714	14	16828	3373	HYAL1
papillary_renal_cell_carcinoma	papillary_renal_cell_carcinoma	0.249751481131748	-1.38728893101361	6364	7	0.5	14	16828	3425,3373,4669,153642,2799,2588,285362	IDUA,HYAL1,NAGLU,ARSK,GNS,GALNS,SUMF1
kidney-carcinoma-papillary_renal_cell_carcinoma	kidney-carcinoma-papillary_renal_cell_carcinoma	0.249751481131748	-1.38728893101361	6364	7	0.5	14	16828	3425,153642,4669,3373,2799,285362,2588	IDUA,ARSK,NAGLU,HYAL1,GNS,SUMF1,GALNS
eye-uveal_tract-malignant_melanoma-spindle	eye-uveal_tract-malignant_melanoma-spindle	0.263186730369852	-1.33489149732985	363	1	0.0714285714285714	14	16828	4669	NAGLU
biliary_tract	biliary_tract	0.265807554062872	-1.32498271300574	15309	14	1	14	16828	22901,153642,3373,138050,2588,2799,4669,6448,3423,411,2990,3425,285362,2720	ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS,NAGLU,SGSH,IDS,ARSB,GUSB,IDUA,SUMF1,GLB1
oesophagus-carcinoma-squamous_cell_carcinoma	oesophagus-carcinoma-squamous_cell_carcinoma	0.268371061098566	-1.31538469974766	6486	7	0.5	14	16828	138050,411,2990,3423,6448,2799,285362	HGSNAT,ARSB,GUSB,IDS,SGSH,GNS,SUMF1
prostate	prostate	0.268465286024725	-1.31503366194021	13883	13	0.928571428571429	14	16828	285362,2720,6448,4669,3423,411,2990,3425,2588,2799,153642,22901,3373	SUMF1,GLB1,SGSH,NAGLU,IDS,ARSB,GUSB,IDUA,GALNS,GNS,ARSK,ARSG,HYAL1
angiosarcoma	angiosarcoma	0.271772911400368	-1.30278844595382	2192	3	0.214285714285714	14	16828	22901,411,3425	ARSG,ARSB,IDUA
soft_tissue-blood_vessel-angiosarcoma	soft_tissue-blood_vessel-angiosarcoma	0.271772911400368	-1.30278844595382	2192	3	0.214285714285714	14	16828	3425,411,22901	IDUA,ARSB,ARSG
liver-carcinoma	liver-carcinoma	0.272698254564334	-1.29938938972191	15337	14	1	14	16828	2990,411,3425,4669,6448,3423,2720,285362,138050,22901,153642,3373,2799,2588	GUSB,ARSB,IDUA,NAGLU,SGSH,IDS,GLB1,SUMF1,HGSNAT,ARSG,ARSK,HYAL1,GNS,GALNS
primitive_neuroectodermal_tumour-medulloblastoma	primitive_neuroectodermal_tumour-medulloblastoma	0.275953567634376	-1.28752266062656	15350	14	1	14	16828	2720,285362,3425,411,2990,3423,4669,6448,2799,2588,138050,3373,22901,153642	GLB1,SUMF1,IDUA,ARSB,GUSB,IDS,NAGLU,SGSH,GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK
blood_vessel	blood_vessel	0.276287913212814	-1.28631179316772	2211	3	0.214285714285714	14	16828	22901,411,3425	ARSG,ARSB,IDUA
spindle	spindle	0.277471799042076	-1.28203597603343	386	1	0.0714285714285714	14	16828	4669	NAGLU
head_neck	head_neck	0.27873620880513	-1.27748943257029	15361	14	1	14	16828	3373,153642,22901,138050,2588,2799,3423,4669,6448,3425,411,2990,285362,2720	HYAL1,ARSK,ARSG,HGSNAT,GALNS,GNS,IDS,NAGLU,SGSH,IDUA,ARSB,GUSB,SUMF1,GLB1
ankle	ankle	0.284822372718267	-1.25588954663688	398	1	0.0714285714285714	14	16828	3373	HYAL1
adrenal_cortical_carcinoma	adrenal_cortical_carcinoma	0.287032184443426	-1.24816092859198	2256	3	0.214285714285714	14	16828	3373,3423,2588	HYAL1,IDS,GALNS
central_nervous_system-brain-glioma	central_nervous_system-brain-glioma	0.307753549520951	-1.17845598020358	15470	14	1	14	16828	138050,3373,22901,153642,2799,2588,3425,2990,411,3423,6448,4669,2720,285362	HGSNAT,HYAL1,ARSG,ARSK,GNS,GALNS,IDUA,GUSB,ARSB,IDS,SGSH,NAGLU,GLB1,SUMF1
lower_third	lower_third	0.318812835458769	-1.14315107108619	7961	8	0.571428571428571	14	16828	4669,3423,2990,3425,2799,153642,22901,138050	NAGLU,IDS,GUSB,IDUA,GNS,ARSK,ARSG,HGSNAT
stomach	stomach	0.330809015308673	-1.10621406315477	15550	14	1	14	16828	2799,2588,138050,153642,22901,3373,2720,285362,2990,411,3425,4669,6448,3423	GNS,GALNS,HGSNAT,ARSK,ARSG,HYAL1,GLB1,SUMF1,GUSB,ARSB,IDUA,NAGLU,SGSH,IDS
pancreas-carcinoma-ductal_carcinoma	pancreas-carcinoma-ductal_carcinoma	0.335306544791907	-1.09271010648808	15565	14	1	14	16828	2588,2799,153642,22901,3373,138050,285362,2720,6448,4669,3423,411,2990,3425	GALNS,GNS,ARSK,ARSG,HYAL1,HGSNAT,SUMF1,GLB1,SGSH,NAGLU,IDS,ARSB,GUSB,IDUA
oesophagus-middle_third-carcinoma-squamous_cell_carcinoma	oesophagus-middle_third-carcinoma-squamous_cell_carcinoma	0.335956683807494	-1.09077304456908	3531	4	0.285714285714286	14	16828	2588,3425,4669,6448	GALNS,IDUA,NAGLU,SGSH
middle_third	middle_third	0.336374036515277	-1.08953153425644	3533	4	0.285714285714286	14	16828	2588,6448,4669,3425	GALNS,SGSH,NAGLU,IDUA
large_intestine-caecum-carcinoma-adenocarcinoma	large_intestine-caecum-carcinoma-adenocarcinoma	0.341148580252045	-1.07543717738246	14236	13	0.928571428571429	14	16828	2588,2799,22901,3373,138050,285362,2720,4669,6448,3423,2990,411,3425	GALNS,GNS,ARSG,HYAL1,HGSNAT,SUMF1,GLB1,NAGLU,SGSH,IDS,GUSB,ARSB,IDUA
caecum	caecum	0.343842265637725	-1.06757225688871	14248	13	0.928571428571429	14	16828	2720,285362,2990,411,3425,4669,6448,3423,2799,2588,138050,22901,3373	GLB1,SUMF1,GUSB,ARSB,IDUA,NAGLU,SGSH,IDS,GNS,GALNS,HGSNAT,ARSG,HYAL1
soft_tissue	soft_tissue	0.348416938471664	-1.05435541729908	5828	6	0.428571428571429	14	16828	285362,22901,6448,411,3425,138050	SUMF1,ARSG,SGSH,ARSB,IDUA,HGSNAT
meninges	meninges	0.352384356761368	-1.04303277648041	514	1	0.0714285714285714	14	16828	2799	GNS
meningioma	meningioma	0.352384356761368	-1.04303277648041	514	1	0.0714285714285714	14	16828	2799	GNS
upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	0.353948561555448	-1.03860368274689	1485	2	0.142857142857143	14	16828	285362,2990	SUMF1,GUSB
endometrium-carcinoma-endometrioid_carcinoma	endometrium-carcinoma-endometrioid_carcinoma	0.371721541861396	-0.989610248390818	15680	14	1	14	16828	2799,2588,138050,3373,22901,153642,2720,285362,3425,2990,411,3423,6448,4669	GNS,GALNS,HGSNAT,HYAL1,ARSG,ARSK,GLB1,SUMF1,IDUA,GUSB,ARSB,IDS,SGSH,NAGLU
endometrioid_carcinoma	endometrioid_carcinoma	0.375055665798055	-0.980680821900023	15690	14	1	14	16828	22901,153642,3373,138050,2588,2799,6448,4669,3423,411,2990,3425,285362,2720	ARSG,ARSK,HYAL1,HGSNAT,GALNS,GNS,SGSH,NAGLU,IDS,ARSB,GUSB,IDUA,SUMF1,GLB1
lung-left_upper_lobe-carcinoma-adenocarcinoma	lung-left_upper_lobe-carcinoma-adenocarcinoma	0.375348537804514	-0.979900250522826	556	1	0.0714285714285714	14	16828	4669	NAGLU
endometrium	endometrium	0.375725813945308	-0.978895619831746	15692	14	1	14	16828	2990,411,3425,6448,4669,3423,2720,285362,138050,153642,22901,3373,2799,2588	GUSB,ARSB,IDUA,SGSH,NAGLU,IDS,GLB1,SUMF1,HGSNAT,ARSK,ARSG,HYAL1,GNS,GALNS
left_upper_lobe	left_upper_lobe	0.376422975729079	-0.977041832408321	558	1	0.0714285714285714	14	16828	4669	NAGLU
adrenal_gland	adrenal_gland	0.377468379874019	-0.974268475724413	2628	3	0.214285714285714	14	16828	2588,3423,3373	GALNS,IDS,HYAL1
peritoneum-appendix-other-pseudomyxoma_peritonei	peritoneum-appendix-other-pseudomyxoma_peritonei	0.390760932866731	-0.939659330886468	585	1	0.0714285714285714	14	16828	22901	ARSG
pseudomyxoma_peritonei	pseudomyxoma_peritonei	0.390760932866731	-0.939659330886468	585	1	0.0714285714285714	14	16828	22901	ARSG
appendix	appendix	0.391286041967453	-0.938316421325956	586	1	0.0714285714285714	14	16828	22901	ARSG
peritoneum	peritoneum	0.391810730756202	-0.936976385495035	587	1	0.0714285714285714	14	16828	22901	ARSG
uveal_tract	uveal_tract	0.391810730756202	-0.936976385495035	587	1	0.0714285714285714	14	16828	4669	NAGLU
skin-malignant_melanoma	skin-malignant_melanoma	0.392495923789813	-0.935229127062485	15741	14	1	14	16828	2799,2588,138050,3373,153642,22901,2720,285362,3425,2990,411,3423,6448,4669	GNS,GALNS,HGSNAT,HYAL1,ARSK,ARSG,GLB1,SUMF1,IDUA,GUSB,ARSB,IDS,SGSH,NAGLU
pharynx	pharynx	0.394085339626449	-0.931187795101498	2696	3	0.214285714285714	14	16828	6448,2990,285362	SGSH,GUSB,SUMF1
soft_tissue-striated_muscle-rhabdomyosarcoma	soft_tissue-striated_muscle-rhabdomyosarcoma	0.395471810141733	-0.927675770821082	594	1	0.0714285714285714	14	16828	285362	SUMF1
ductolobular_carcinoma	ductolobular_carcinoma	0.395803343862791	-0.92683779748455	1619	2	0.142857142857143	14	16828	2720,2588	GLB1,GALNS
breast-carcinoma-ductolobular_carcinoma	breast-carcinoma-ductolobular_carcinoma	0.395803343862791	-0.92683779748455	1619	2	0.142857142857143	14	16828	2720,2588	GLB1,GALNS
