TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
urinary_tract	urinary_tract	0.0295241063725579	-3.52254818416259	14112	20	1	20	16828	2132,9957,2131,64711,2137,9394,64579,9653,9348,9951,8509,90161,2135,3340,266722,9956,9955,222537,26035,9953	EXT2,HS3ST1,EXT1,HS3ST6,EXTL3,HS6ST1,NDST4,HS2ST1,NDST3,HS3ST4,NDST2,HS6ST2,EXTL2,NDST1,HS6ST3,HS3ST2,HS3ST3A1,HS3ST5,GLCE,HS3ST3B1
bladder	bladder	0.0295241063725579	-3.52254818416259	14112	20	1	20	16828	8509,9348,9951,90161,9957,2131,2132,9653,9394,64579,2137,64711,9953,26035,222537,3340,2135,9956,9955,266722	NDST2,NDST3,HS3ST4,HS6ST2,HS3ST1,EXT1,EXT2,HS2ST1,HS6ST1,NDST4,EXTL3,HS3ST6,HS3ST3B1,GLCE,HS3ST5,NDST1,EXTL2,HS3ST2,HS3ST3A1,HS6ST3
astrocytoma_Grade_III	astrocytoma_Grade_III	0.0311682712197073	-3.46835464969555	1544	5	0.25	20	16828	9348,9955,9956,266722,64579	NDST3,HS3ST3A1,HS3ST2,HS6ST3,NDST4
astrocytoma_Grade_II	astrocytoma_Grade_II	0.0328721343698543	-3.41512995974041	601	3	0.15	20	16828	2132,9394,64579	EXT2,HS6ST1,NDST4
skin-head_neck-carcinoma-squamous_cell_carcinoma	skin-head_neck-carcinoma-squamous_cell_carcinoma	0.033013987880294	-3.41082393216493	14191	20	1	20	16828	2135,3340,266722,9955,9956,222537,26035,9953,2132,9957,2131,9394,64579,64711,2137,9653,9348,9951,8509,90161	EXTL2,NDST1,HS6ST3,HS3ST3A1,HS3ST2,HS3ST5,GLCE,HS3ST3B1,EXT2,HS3ST1,EXT1,HS6ST1,NDST4,HS3ST6,EXTL3,HS2ST1,NDST3,HS3ST4,NDST2,HS6ST2
thyroid-carcinoma	thyroid-carcinoma	0.0363399936936943	-3.31483638955033	4126	9	0.45	20	16828	26035,8509,9348,9951,222537,9956,64579,2131,2132	GLCE,NDST2,NDST3,HS3ST4,HS3ST5,HS3ST2,NDST4,EXT1,EXT2
stomach-carcinoma-intestinal_adenocarcinoma	stomach-carcinoma-intestinal_adenocarcinoma	0.0390615938329407	-3.24261554963131	7225	13	0.65	20	16828	9951,26035,9953,8509,2132,3340,9957,2131,266722,2137,64579,64711,9394	HS3ST4,GLCE,HS3ST3B1,NDST2,EXT2,NDST1,HS3ST1,EXT1,HS6ST3,EXTL3,NDST4,HS3ST6,HS6ST1
intestinal_adenocarcinoma	intestinal_adenocarcinoma	0.0390615938329407	-3.24261554963131	7225	13	0.65	20	16828	9951,26035,8509,9953,2132,3340,9957,2131,266722,2137,9394,64711,64579	HS3ST4,GLCE,NDST2,HS3ST3B1,EXT2,NDST1,HS3ST1,EXT1,HS6ST3,EXTL3,HS6ST1,HS3ST6,NDST4
thyroid	thyroid	0.0393661871857878	-3.23484802439102	9867	16	0.8	20	16828	9955,9956,3340,222537,9953,26035,9394,2137,64579,64711,2132,2131,9957,9348,9951,8509	HS3ST3A1,HS3ST2,NDST1,HS3ST5,HS3ST3B1,GLCE,HS6ST1,EXTL3,NDST4,HS3ST6,EXT2,EXT1,HS3ST1,NDST3,HS3ST4,NDST2
oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	0.0401405258873369	-3.21536883437099	3507	8	0.4	20	16828	64579,9394,2137,64711,2132,9953,222537,9951	NDST4,HS6ST1,EXTL3,HS3ST6,EXT2,HS3ST3B1,HS3ST5,HS3ST4
central_nervous_system-thalamus-glioma-oligodendroglioma_Grade_III	central_nervous_system-thalamus-glioma-oligodendroglioma_Grade_III	0.0419505542568631	-3.17126363383527	36	1	0.05	20	16828	9394	HS6ST1
bone	bone	0.0433746194150784	-3.13788081504575	8157	14	0.7	20	16828	266722,64579,2137,9394,9653,9956,2132,3340,2131,90161,222537,9348,9951,26035	HS6ST3,NDST4,EXTL3,HS6ST1,HS2ST1,HS3ST2,EXT2,NDST1,EXT1,HS6ST2,HS3ST5,NDST3,HS3ST4,GLCE
chondrosarcoma	chondrosarcoma	0.0474062306002224	-3.04900161165746	1181	4	0.2	20	16828	9951,3340,2131,64579	HS3ST4,NDST1,EXT1,NDST4
follicular_lymphoma	follicular_lymphoma	0.0509572649530742	-2.97676793962412	1209	4	0.2	20	16828	266722,64579,8509,9953	HS6ST3,NDST4,NDST2,HS3ST3B1
lymphoid_neoplasm	lymphoid_neoplasm	0.059876670595139	-2.8154683222601	12233	18	0.9	20	16828	8509,9348,90161,9957,2131,2132,9653,64579,9394,2137,26035,9953,222537,3340,2135,9956,9955,266722	NDST2,NDST3,HS6ST2,HS3ST1,EXT1,EXT2,HS2ST1,NDST4,HS6ST1,EXTL3,GLCE,HS3ST3B1,HS3ST5,NDST1,EXTL2,HS3ST2,HS3ST3A1,HS6ST3
skin-trunk-malignant_melanoma-nodular	skin-trunk-malignant_melanoma-nodular	0.0622083329969542	-2.77726631719819	1291	4	0.2	20	16828	64579,9348,222537,9957	NDST4,NDST3,HS3ST5,HS3ST1
central_nervous_system-thalamus-glioma-astrocytoma_Grade_II	central_nervous_system-thalamus-glioma-astrocytoma_Grade_II	0.063411585553497	-2.75810869679655	55	1	0.05	20	16828	9394	HS6ST1
lung-carcinoma-squamous_cell_carcinoma	lung-carcinoma-squamous_cell_carcinoma	0.0636318796067518	-2.75464068254223	14664	20	1	20	16828	9951,9348,8509,90161,2132,2131,9957,64579,9394,2137,64711,9653,222537,26035,9953,2135,3340,266722,9955,9956	HS3ST4,NDST3,NDST2,HS6ST2,EXT2,EXT1,HS3ST1,NDST4,HS6ST1,EXTL3,HS3ST6,HS2ST1,HS3ST5,GLCE,HS3ST3B1,EXTL2,NDST1,HS6ST3,HS3ST3A1,HS3ST2
prostate-carcinoma-adenocarcinoma	prostate-carcinoma-adenocarcinoma	0.0703539480806216	-2.65421637644745	12379	18	0.9	20	16828	8509,9348,9951,9653,64579,9394,2137,64711,2131,2132,9953,26035,222537,9956,9955,266722,3340,2135	NDST2,NDST3,HS3ST4,HS2ST1,NDST4,HS6ST1,EXTL3,HS3ST6,EXT1,EXT2,HS3ST3B1,GLCE,HS3ST5,HS3ST2,HS3ST3A1,HS6ST3,NDST1,EXTL2
haematopoietic_and_lymphoid_tissue-spleen-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-spleen-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.0712025324412451	-2.64222689320172	62	1	0.05	20	16828	2135	EXTL2
skin-upper_leg-malignant_melanoma	skin-upper_leg-malignant_melanoma	0.0772090942655261	-2.56123802752252	850	3	0.15	20	16828	8509,9956,266722	NDST2,HS3ST2,HS6ST3
bone-tibia-chondrosarcoma	bone-tibia-chondrosarcoma	0.0800310778675484	-2.52534024640013	70	1	0.05	20	16828	3340	NDST1
bone-rib-chondrosarcoma	bone-rib-chondrosarcoma	0.0811290238239644	-2.51171450489254	71	1	0.05	20	16828	64579	NDST4
upper_leg	upper_leg	0.0837769675123956	-2.47959715995988	880	3	0.15	20	16828	9956,266722,8509	HS3ST2,HS6ST3,NDST2
endometrium-carcinoma-serous_carcinoma	endometrium-carcinoma-serous_carcinoma	0.0862120765988125	-2.45094501137134	1442	4	0.2	20	16828	64579,9951,9348,2132	NDST4,HS3ST4,NDST3,EXT2
bone-femur-chondrosarcoma	bone-femur-chondrosarcoma	0.0875396981348108	-2.43566289553684	419	2	0.1	20	16828	9951,2131	HS3ST4,EXT1
central_nervous_system-brain-glioma-astrocytoma_Grade_II	central_nervous_system-brain-glioma-astrocytoma_Grade_II	0.0878971384023145	-2.43158802997094	420	2	0.1	20	16828	64579,2132	NDST4,EXT2
upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-pharynx-carcinoma-squamous_cell_carcinoma	0.0938079893946642	-2.36650525181392	1485	4	0.2	20	16828	3340,26035,9348,9955	NDST1,GLCE,NDST3,HS3ST3A1
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	0.095328747381484	-2.35042386237748	4151	8	0.4	20	16828	9956,9653,64579,2137,266722,2131,2135,9348	HS3ST2,HS2ST1,NDST4,EXTL3,HS6ST3,EXT1,EXTL2,NDST3
oesophagus	oesophagus	0.0962003924735959	-2.34132184155169	14970	20	1	20	16828	9951,9348,8509,90161,2132,2131,9957,2137,9394,64579,64711,9653,222537,26035,9953,2135,3340,266722,9956,9955	HS3ST4,NDST3,NDST2,HS6ST2,EXT2,EXT1,HS3ST1,EXTL3,HS6ST1,NDST4,HS3ST6,HS2ST1,HS3ST5,GLCE,HS3ST3B1,EXTL2,NDST1,HS6ST3,HS3ST2,HS3ST3A1
nodular	nodular	0.0993012778033305	-2.30959683990373	1515	4	0.2	20	16828	64579,222537,9348,9957	NDST4,HS3ST5,NDST3,HS3ST1
lung-right_lower_lobe-carcinoma-adenocarcinoma	lung-right_lower_lobe-carcinoma-adenocarcinoma	0.0999971519502909	-2.30261357389671	5692	10	0.5	20	16828	9951,222537,64579,2137,266722,9956,2132,2131,3340,9957	HS3ST4,HS3ST5,NDST4,EXTL3,HS6ST3,HS3ST2,EXT2,EXT1,NDST1,HS3ST1
right_lower_lobe	right_lower_lobe	0.0999971519502909	-2.30261357389671	5692	10	0.5	20	16828	2131,3340,9957,2132,9956,2137,64579,266722,9951,222537	EXT1,NDST1,HS3ST1,EXT2,HS3ST2,EXTL3,NDST4,HS6ST3,HS3ST4,HS3ST5
cystic_tumour	cystic_tumour	0.100680462010925	-2.29580351982085	89	1	0.05	20	16828	9956	HS3ST2
pancreas-other-cystic_tumour	pancreas-other-cystic_tumour	0.100680462010925	-2.29580351982085	89	1	0.05	20	16828	9956	HS3ST2
oesophagus-carcinoma-squamous_cell_carcinoma	oesophagus-carcinoma-squamous_cell_carcinoma	0.100995480433105	-2.29267951132919	6486	11	0.55	20	16828	64579,9394,2137,9956,2135,3340,2131,222537,9951,9348,26035	NDST4,HS6ST1,EXTL3,HS3ST2,EXTL2,NDST1,EXT1,HS3ST5,HS3ST4,NDST3,GLCE
breast-carcinoma	breast-carcinoma	0.104217937029487	-2.26127102407918	15030	20	1	20	16828	3340,2135,9955,9956,266722,9953,26035,222537,9957,2131,2132,9653,9394,64711,2137,64579,8509,9951,9348,90161	NDST1,EXTL2,HS3ST3A1,HS3ST2,HS6ST3,HS3ST3B1,GLCE,HS3ST5,HS3ST1,EXT1,EXT2,HS2ST1,HS6ST1,HS3ST6,EXTL3,NDST4,NDST2,HS3ST4,NDST3,HS6ST2
meninges-meningioma-haemangiopericytic	meninges-meningioma-haemangiopericytic	0.107109312417883	-2.23390535462791	95	1	0.05	20	16828	9348	NDST3
haemangiopericytic	haemangiopericytic	0.107109312417883	-2.23390535462791	95	1	0.05	20	16828	9348	NDST3
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-follicular_lymphoma	0.107628655568095	-2.22906835102157	981	3	0.15	20	16828	64579,266722,9953	NDST4,HS6ST3,HS3ST3B1
angiosarcoma	angiosarcoma	0.108837595654425	-2.21789845595401	2192	5	0.25	20	16828	9953,9956,9955,64579,266722	HS3ST3B1,HS3ST2,HS3ST3A1,NDST4,HS6ST3
soft_tissue-blood_vessel-angiosarcoma	soft_tissue-blood_vessel-angiosarcoma	0.108837595654425	-2.21789845595401	2192	5	0.25	20	16828	64579,266722,9955,9956,9953	NDST4,HS6ST3,HS3ST3A1,HS3ST2,HS3ST3B1
trunk	trunk	0.109587347631498	-2.21103335245053	3554	7	0.35	20	16828	9957,2132,9348,222537,9956,64579,9394	HS3ST1,EXT2,NDST3,HS3ST5,HS3ST2,NDST4,HS6ST1
blood_vessel	blood_vessel	0.111967141228972	-2.1895498326161	2211	5	0.25	20	16828	9953,64579,266722,9956,9955	HS3ST3B1,NDST4,HS6ST3,HS3ST2,HS3ST3A1
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-diffuse_large_B_cell_lymphoma	0.116794376192058	-2.14734035878781	3608	7	0.35	20	16828	266722,2137,64579,9653,9956,9348,2131	HS6ST3,EXTL3,NDST4,HS2ST1,HS3ST2,NDST3,EXT1
lung-carcinoma-adenocarcinoma	lung-carcinoma-adenocarcinoma	0.119481564705605	-2.12459318975743	15133	20	1	20	16828	8509,9348,9951,90161,2131,9957,2132,9653,9394,64711,64579,2137,9953,26035,222537,3340,2135,9955,9956,266722	NDST2,NDST3,HS3ST4,HS6ST2,EXT1,HS3ST1,EXT2,HS2ST1,HS6ST1,HS3ST6,NDST4,EXTL3,HS3ST3B1,GLCE,HS3ST5,NDST1,EXTL2,HS3ST3A1,HS3ST2,HS6ST3
stomach-carcinoma-adenocarcinoma	stomach-carcinoma-adenocarcinoma	0.122196576996749	-2.1021242441202	15150	20	1	20	16828	90161,8509,9951,9348,9653,64711,9394,64579,2137,9957,2131,2132,26035,9953,222537,9955,9956,266722,3340,2135	HS6ST2,NDST2,HS3ST4,NDST3,HS2ST1,HS3ST6,HS6ST1,NDST4,EXTL3,HS3ST1,EXT1,EXT2,GLCE,HS3ST3B1,HS3ST5,HS3ST3A1,HS3ST2,HS6ST3,NDST1,EXTL2
meninges	meninges	0.123355753484988	-2.09268279351945	514	2	0.1	20	16828	9348,64579	NDST3,NDST4
meningioma	meningioma	0.123355753484988	-2.09268279351945	514	2	0.1	20	16828	9348,64579	NDST3,NDST4
haematopoietic_neoplasm	haematopoietic_neoplasm	0.134361593816865	-2.00722065202152	11082	16	0.8	20	16828	90161,8509,9348,9653,64711,9394,2137,64579,9957,2131,222537,9956,9955,266722,3340,2135	HS6ST2,NDST2,NDST3,HS2ST1,HS3ST6,HS6ST1,EXTL3,NDST4,HS3ST1,EXT1,HS3ST5,HS3ST2,HS3ST3A1,HS6ST3,NDST1,EXTL2
thyroid-other-neoplasm	thyroid-other-neoplasm	0.13818591302823	-1.97915530462233	7637	12	0.6	20	16828	9956,9955,9394,64711,64579,2137,2131,3340,9953,9951,9348,222537	HS3ST2,HS3ST3A1,HS6ST1,HS3ST6,NDST4,EXTL3,EXT1,NDST1,HS3ST3B1,HS3ST4,NDST3,HS3ST5
skin-upper_arm-malignant_melanoma	skin-upper_arm-malignant_melanoma	0.138993268052077	-1.9733297783043	553	2	0.1	20	16828	2135,64579	EXTL2,NDST4
urinary_tract-bladder-carcinoma-transitional_cell_carcinoma	urinary_tract-bladder-carcinoma-transitional_cell_carcinoma	0.139947536714906	-1.96648766435524	6040	10	0.5	20	16828	3340,2131,2135,9653,9956,64579,2137,9953,8509,9348	NDST1,EXT1,EXTL2,HS2ST1,HS3ST2,NDST4,EXTL3,HS3ST3B1,NDST2,NDST3
transitional_cell_carcinoma	transitional_cell_carcinoma	0.140202186593563	-1.96466970825817	6042	10	0.5	20	16828	3340,2131,2135,9653,9956,2137,64579,9953,8509,9348	NDST1,EXT1,EXTL2,HS2ST1,HS3ST2,EXTL3,NDST4,HS3ST3B1,NDST2,NDST3
skin-axilla-malignant_melanoma	skin-axilla-malignant_melanoma	0.146822670089961	-1.91852974631883	133	1	0.05	20	16828	64579	NDST4
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	0.148921374801853	-1.90433679820548	3828	7	0.35	20	16828	9955,9653,64579,266722,2131,9348,222537	HS3ST3A1,HS2ST1,NDST4,HS6ST3,EXT1,NDST3,HS3ST5
acute_lymphoblastic_B_cell_leukaemia	acute_lymphoblastic_B_cell_leukaemia	0.148921374801853	-1.90433679820548	3828	7	0.35	20	16828	9955,9653,64579,266722,2131,9348,222537	HS3ST3A1,HS2ST1,NDST4,HS6ST3,EXT1,NDST3,HS3ST5
oesophagus-carcinoma-adenocarcinoma	oesophagus-carcinoma-adenocarcinoma	0.14903299101561	-1.90358758133348	13112	18	0.9	20	16828	2131,2132,9653,2137,64579,64711,9394,8509,9348,9951,90161,3340,9956,9955,266722,26035,9953,222537	EXT1,EXT2,HS2ST1,EXTL3,NDST4,HS3ST6,HS6ST1,NDST2,NDST3,HS3ST4,HS6ST2,NDST1,HS3ST2,HS3ST3A1,HS6ST3,GLCE,HS3ST3B1,HS3ST5
upper_arm	upper_arm	0.150907332276511	-1.8910893240872	582	2	0.1	20	16828	64579,2135	NDST4,EXTL2
liver-carcinoma	liver-carcinoma	0.156200061607102	-1.85661764716497	15337	20	1	20	16828	26035,9953,222537,3340,2135,9956,9955,266722,8509,9951,9348,90161,2131,9957,2132,9653,2137,9394,64711,64579	GLCE,HS3ST3B1,HS3ST5,NDST1,EXTL2,HS3ST2,HS3ST3A1,HS6ST3,NDST2,HS3ST4,NDST3,HS6ST2,EXT1,HS3ST1,EXT2,HS2ST1,EXTL3,HS6ST1,HS3ST6,NDST4
skin-subungual-malignant_melanoma-acral_lentiginous	skin-subungual-malignant_melanoma-acral_lentiginous	0.15800172538562	-1.84514932585264	144	1	0.05	20	16828	9956	HS3ST2
subungual	subungual	0.161026322662014	-1.82618743256637	147	1	0.05	20	16828	9956	HS3ST2
head_neck	head_neck	0.161165116177001	-1.82532587321475	15361	20	1	20	16828	266722,9955,9956,2135,3340,222537,9953,26035,64711,2137,64579,9394,9653,2132,9957,2131,90161,9951,9348,8509	HS6ST3,HS3ST3A1,HS3ST2,EXTL2,NDST1,HS3ST5,HS3ST3B1,GLCE,HS3ST6,EXTL3,NDST4,HS6ST1,HS2ST1,EXT2,HS3ST1,EXT1,HS6ST2,HS3ST4,NDST3,NDST2
large_intestine-caecum-carcinoma-adenocarcinoma	large_intestine-caecum-carcinoma-adenocarcinoma	0.163428145617301	-1.81138186158965	14236	19	0.95	20	16828	222537,9953,26035,266722,9956,9955,2135,3340,90161,9951,9348,8509,64579,64711,2137,9653,2132,9957,2131	HS3ST5,HS3ST3B1,GLCE,HS6ST3,HS3ST2,HS3ST3A1,EXTL2,NDST1,HS6ST2,HS3ST4,NDST3,NDST2,NDST4,HS3ST6,EXTL3,HS2ST1,EXT2,HS3ST1,EXT1
pancreas-carcinoid-endocrine_tumour-islet_cell	pancreas-carcinoid-endocrine_tumour-islet_cell	0.165043066075228	-1.8015488326213	151	1	0.05	20	16828	9394	HS6ST1
islet_cell	islet_cell	0.165043066075228	-1.8015488326213	151	1	0.05	20	16828	9394	HS6ST1
caecum	caecum	0.165494009251787	-1.79882028269458	14248	19	0.95	20	16828	266722,9955,9956,2135,3340,222537,9953,26035,64711,64579,2137,9653,2132,2131,9957,90161,9951,9348,8509	HS6ST3,HS3ST3A1,HS3ST2,EXTL2,NDST1,HS3ST5,HS3ST3B1,GLCE,HS3ST6,NDST4,EXTL3,HS2ST1,EXT2,EXT1,HS3ST1,HS6ST2,HS3ST4,NDST3,NDST2
bone-femur-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-femur-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.172360806174821	-1.75816528897217	633	2	0.1	20	16828	64579,9348	NDST4,NDST3
lower_third	lower_third	0.180538164029999	-1.7118130884892	7961	12	0.6	20	16828	9953,9951,9348,222537,3340,2135,2132,9955,64579,2137,64711,9394	HS3ST3B1,HS3ST4,NDST3,HS3ST5,NDST1,EXTL2,EXT2,HS3ST3A1,NDST4,EXTL3,HS3ST6,HS6ST1
soft_tissue-striated_muscle-rhabdoid_tumour	soft_tissue-striated_muscle-rhabdoid_tumour	0.181911309056325	-1.70423602355819	168	1	0.05	20	16828	2137	EXTL3
rhabdoid_tumour	rhabdoid_tumour	0.181911309056325	-1.70423602355819	168	1	0.05	20	16828	2137	EXTL3
central_nervous_system-brain-glioma	central_nervous_system-brain-glioma	0.185663022993308	-1.68382195272716	15470	20	1	20	16828	2137,9394,64711,64579,9653,2132,9957,2131,90161,9951,9348,8509,266722,9956,9955,2135,3340,222537,26035,9953	EXTL3,HS6ST1,HS3ST6,NDST4,HS2ST1,EXT2,HS3ST1,EXT1,HS6ST2,HS3ST4,NDST3,NDST2,HS6ST3,HS3ST2,HS3ST3A1,EXTL2,NDST1,HS3ST5,GLCE,HS3ST3B1
haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue	0.187379965529108	-1.67461682242161	14368	19	0.95	20	16828	222537,26035,9953,2135,3340,266722,9956,9955,9348,8509,90161,2132,2131,9957,2137,64579,64711,9394,9653	HS3ST5,GLCE,HS3ST3B1,EXTL2,NDST1,HS6ST3,HS3ST2,HS3ST3A1,NDST3,NDST2,HS6ST2,EXT2,EXT1,HS3ST1,EXTL3,NDST4,HS3ST6,HS6ST1,HS2ST1
small_intestine-carcinoid-endocrine_tumour	small_intestine-carcinoid-endocrine_tumour	0.188762523979922	-1.66726554084271	175	1	0.05	20	16828	64579	NDST4
central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-brain-primitive_neuroectodermal_tumour-medulloblastoma	0.190106647259607	-1.66017006292599	7205	11	0.55	20	16828	9653,9955,9956,266722,9394,64579,3340,2131,90161,9953,9348	HS2ST1,HS3ST3A1,HS3ST2,HS6ST3,HS6ST1,NDST4,NDST1,EXT1,HS6ST2,HS3ST3B1,NDST3
axilla	axilla	0.194591576366275	-1.63685239708248	181	1	0.05	20	16828	64579	NDST4
stomach-adenocarcinoma	stomach-adenocarcinoma	0.194695806495656	-1.63631690512224	4101	7	0.35	20	16828	9348,3340,9953,8509,2131,9394,64579	NDST3,NDST1,HS3ST3B1,NDST2,EXT1,HS6ST1,NDST4
pancreas-carcinoid-endocrine_tumour	pancreas-carcinoid-endocrine_tumour	0.196863590402657	-1.62524422459192	7250	11	0.55	20	16828	9953,9348,2131,3340,9956,9955,9653,9394,2137,64579,266722	HS3ST3B1,NDST3,EXT1,NDST1,HS3ST2,HS3ST3A1,HS2ST1,HS6ST1,EXTL3,NDST4,HS6ST3
